Latitude Position,Longitude Position ,Datetime
3.0258883,101.6146416,03-09-21 6:46
3.0258883,101.6146416,03-09-21 6:46
3.0259083,101.6149233,03-09-21 6:46
3.0259083,101.6149233,03-09-21 6:46
3.0259083,101.6149233,03-09-21 6:45
3.0258966,101.61487,03-09-21 6:44
3.0259483,101.6154933,03-09-21 6:40
3.0259816,101.6155083,03-09-21 6:40
3.0259299,101.61497,03-09-21 6:39
3.0259299,101.61497,03-09-21 6:39
3.0259299,101.61497,03-09-21 6:39
3.0259299,101.61497,03-09-21 6:38
3.0259299,101.61497,03-09-21 6:38
3.0259883,101.6148683,03-09-21 6:33
3.025995,101.6148733,03-09-21 6:33
3.0260349,101.61492,03-09-21 6:33
3.0260333,101.6149483,03-09-21 6:28
3.0260333,101.6149483,03-09-21 6:28
3.0260333,101.6149483,03-09-21 6:27
3.0260333,101.6149483,03-09-21 6:26
3.0260333,101.6149483,03-09-21 6:26
3.0260333,101.6149483,03-09-21 6:25
3.0260333,101.6149483,03-09-21 6:25
3.0260333,101.6149483,03-09-21 6:24
3.0260333,101.6149483,03-09-21 6:24
3.0260333,101.6149483,03-09-21 6:24
3.0260266,101.6150049,03-09-21 6:19
3.0260266,101.6150049,03-09-21 6:18
3.0260266,101.6150049,03-09-21 6:18
3.0260266,101.6150049,03-09-21 6:17
3.0260266,101.6150049,03-09-21 6:17
3.0260266,101.6150049,03-09-21 6:17
3.0260266,101.6150049,03-09-21 6:16
3.0260266,101.6150049,03-09-21 6:16
3.0260266,101.6150049,03-09-21 6:16
3.0260266,101.6150049,03-09-21 6:15
3.0260266,101.6150049,03-09-21 6:15
3.0260266,101.6150049,03-09-21 6:15
3.0260266,101.6150049,03-09-21 6:15
3.0260266,101.6150049,03-09-21 6:14
3.0260266,101.6150049,03-09-21 6:14
3.0260266,101.6150049,03-09-21 6:14
3.0260266,101.6150049,03-09-21 6:13
3.0260266,101.6150049,03-09-21 6:13
3.0260266,101.6150049,03-09-21 6:13
3.0260266,101.6150049,03-09-21 6:12
3.0260266,101.6150049,03-09-21 6:12
3.0260266,101.6150049,03-09-21 6:12
3.0260349,101.61501,03-09-21 6:11
3.0259583,101.6149216,03-09-21 6:07
3.0259866,101.6150533,03-09-21 6:06
3.0259816,101.6150033,03-09-21 6:06
3.0259899,101.6150166,03-09-21 6:06
3.0259899,101.6150166,03-09-21 6:05
3.0259899,101.6150166,03-09-21 6:05
3.0259883,101.61499,03-09-21 6:04
3.0259549,101.6149283,03-09-21 6:04
3.0259566,101.6149466,03-09-21 6:04
3.02595,101.6149983,03-09-21 6:04
3.02595,101.6149983,03-09-21 6:03
3.02595,101.6149983,03-09-21 6:03
3.0259566,101.6150033,03-09-21 6:03
3.02594,101.6149633,03-09-21 6:03
3.0259366,101.614935,03-09-21 6:03
3.0260033,101.6150333,03-09-21 6:03
3.0260033,101.6150333,03-09-21 6:02
3.0260033,101.6150333,03-09-21 6:02
3.0260033,101.6150333,03-09-21 6:01
3.0259716,101.6149516,03-09-21 6:00
3.02592,101.6148449,03-09-21 6:00
3.02589,101.61492,03-09-21 6:00
3.0259416,101.6150533,03-09-21 5:59
3.0259416,101.6150533,03-09-21 5:59
3.0259416,101.6150116,03-09-21 5:59
3.0259066,101.6147933,03-09-21 5:54
3.0259449,101.61491,03-09-21 5:54
3.0259449,101.61491,03-09-21 5:54
3.0259449,101.61491,03-09-21 5:53
3.0259449,101.61491,03-09-21 5:53
3.0259449,101.61491,03-09-21 5:52
3.0259449,101.61491,03-09-21 5:52
3.0259333,101.614925,03-09-21 5:52
3.0259333,101.614925,03-09-21 5:51
3.0259266,101.61485,03-09-21 5:50
3.0259416,101.6148833,03-09-21 5:50
3.0259316,101.6148616,03-09-21 5:50
